Spanish;PoS;English
agencia;nf;agency, branch
agenda;nf;diary, agenda, schedule
agente;nc;agent
agitar;v;to shake, move
agosto;nm;August
agotar;v;to exhaust, wear out, run out
agradable;adj;nice, pleasant
agradar;v;to please
agradecer;v;to thank for
agradecido;adj;grateful, thankful
agrario;adj;agrarian, agricultural
agravar;v;to aggravate
agregar;v;to add, gather
agresión;nf;aggression, attack
agresivo;adj;aggressive
agrícola;adj;agricultural, farming
agricultor;nm/f;farmer
agricultura;nf;agriculture, farming
agrupación;nf;group, association
agrupar;v;to (put in) group
agua;nf;(el) water
aguantar;v;to endure, put up with
aguardar;v;to wait for, await
agudo;adj;sharp, acute
aguja;nf;needle, spire, stylus
agujero;nm;hole, opening
ahí;adv;there
ahogar;v;to drown, choke, flood
ahora;adv;now
ahorita;adv;right now, in a minute
ahorrar;v;to save (money, time)
ahorro;nm;saving, thrift
aire;nm;air, wind, appearance
aislado;adj;isolated
aislamiento;nm;isolation
aislar;v;to isolate, insulate
ajedrez;nm;chess
ajeno;adj;not belonging to, detached
ajustar;v;to adjust, tighten
ajuste;nm;adustment, settlement
ala;nf;(el) wing, flank
alambre;nm;wire
alarma;nf;alarm
alarmar;v;to alarm
alba;nf;(el) dawn, daybreak
albergar;v;to lodge, harbor
alcalde;nm;mayor
alcance;nm;reach, scope
alcanzar;v;to reach, catch up with
alcohol;nm;alcohol
aldea;nf;small village
alegar;v;to plead, argue
alegrar;v;to be/make happy
alegre;adj;happy, lively, cheerful
alegría;nf;joy, happiness
alejar;v;to move away
alemán;adj;German
alentar;v;to encourage
alerta;nf;alert
alertar;v;to alert, warn
alfombra;nf;rug, carpet, mat
algo;pron;something, somewhat
algodón;nm;cotton
alguien;pron;somebody, someone, anyone
alguno;adj;some, a few
aliado;nm;ally
alianza;nf;alliance
aliento;nm;breath, courage, spirit
alimentación;nf;feeding, food
alimentar;v;to feed, support
alimentario;adj;food
alimento;nm;food, nourishment
aliviar;v;to lighten, relieve, comfort
alivio;nm;relief, unburdening
allá;adv;there, over there
allí;adv;there, over there
alma;nf;(el) soul
almacén;nm;warehouse, store
almacenar;v;to store, keep
almohada;nf;pillow
almorzar;v;to have lunch
almuerzo;nm;lunch
alojar;v;to host, accommodate
alquilar;v;to rent, hire
alquiler;nm;rent, rental
alrededor;nm;surrounding area, vicinity
alrededor;adv;about, around, round
altamente;adv;highly
altar;nm;altar
alteración;nf;alteration, change
alterar;v;to alter, modify
alternar;v;to alternate
alternativa;nf;alternative
alternativo;adj;alternating, alternative
alto;adj;tall, high
altura;nf;height, altitude
aludir;v;to allude to
alumno;nm;student, pupil
alusión;nf;allusion, hint
alzar;v;to life, raise
ama;nc;housekeeper, housewife
amable;adj;kind, nice, friendly
amanecer;nm;daybreak, dawn
amanecer;v;to dawn, become light
amante;nc;lover
amar;v;to love
amargo;adj;bitter, sour, painful
amargura;nf;bitterness, sorrow
amarillento;adj;yellowish
amarillo;adj;yellow
amarrar;v;to tie, fasten
ambición;nf;ambition
ambicioso;adj;ambitious, greedy
ambiental;adj;environmental
ambiente;nm;environment, atmosphere
ámbito;nm;sphere, space
ambos;adj;both
amenaza;nf;threat
amenazar;v;to threaten
americano;adj;American
amiga;nf;friend (f)
amigo;nm;friend
amistad;nf;friendship
amo;nm;master, boss (m)
amontonar;v;to gather, accumulate
amor;nm;love
amoroso;adj;loving, affectionate
amparar;v;to protect, shelter
amparo;nm;protection, shelter
ampliación;nf;enlargement, extension
ampliamente;adv;widely
ampliar;v;to enlarge, increase, expand
amplio;adj;wide, ample, broad
añadir;v;to add
análisis;nm;analysis
analista;nc;analyst
analizar;v;to analyze
ancho;adj;wide
ancho;nm;width
anciano;nm/f;old person
andaluz;adj;Andalusian
andar;v;to walk, function
andino;adj;Andean
anécdota;nf;anecdote
ángel;nm;angel
ángulo;nm;angle
angustia;nf;anguish, distress
anhelo;nm;longing, yearning
anillo;nm;(finger) ring
animado;adj;excited, lively
animal;nm;animal
animar;v;to cheer up
ánimo;nm;zest, spirit, heart
aniversario;nm;anniversary
año;nm;year
anoche;adv;last night
anónimo;adj;anonymous
anotar;v;to annotate, jot, note
ansia;nf;(el) anxiety, anguish
ansiedad;nf;anxiety
ansioso;adj;anxious, eager
ante;prep;before, in the presence of
antecedente;nm;antecedent
antemano;adv;beforehand, in advance
antena;nf;antenna
anteojo;nm;telescope, eyeglasses
antepasado;nm;ancestor
anterior;adj;previous, preceding
anteriormente;adv;previously
antes;adv;before
anticipar;v;to anticipate, advance
antigüedad;nf;antiquity, seniority
antiguo;adj;old, ancient, former
anual;adj;annual, yearly
anular;v;to annul, cancel
anunciar;v;to announce, advertise
anuncio;nm;advertisement, announcement
apagado;adj;turned off
apagar;v;to turn off, extinguish
aparato;nm;apparatus, device
aparecer;v;to appear
aparente;adj;apparent
aparentemente;adv;apparently
aparición;nf;appearance, apparition
apariencia;nf;appearance, aspect
apartamento;nm;apartment
apartar;v;to move away, separate
aparte;adv;apart, aside, separately
apasionar;v;to inspire, be passionate about
apelar;v;to call upon, appeal to
apellido;nm;last name
apenas;adv;hardly, barely
apertura;nf;opening, beginning
apetito;nm;appetite
aplastar;v;to flatten, crush, smash
aplaudir;v;to clap, applaud
aplauso;nm;applause, praise, acclaim
aplicación;nf;application
aplicado;adj;applied
aplicar;v;to apply
apoderar;v;to take power
aportación;nf;contribution, support
aportar;v;to provide, contribute
aporte;nm;contribution
apostar;v;to wager, bet
apóstol;nm;apostle
apoyar;v;to support, lean on
apoyo;nm;support, backing
apreciar;v;to appreciate
aprender;v;to learn
aprendizaje;nm;learning, apprenticeship
apresurar;v;to hurry up, speed up
apretado;adj;tight, jammed
apretar;v;to squeeze, tighten, compress
aprobación;nf;approval, consent
aprobar;v;to pass (test), approve
apropiado;adj;appropriate
aprovechar;v;to take advantage of
aproximadamente;adv;approximately
aproximar;v;to come near, closer
apto;adj;appropriate, fit, able
apuesta;nf;wager, bet
apuntar;v;to point, note, aim
apunte;nm;note, annotation
apurar;v;to speed up, hurry up
apuro;nm;trouble, predicament
aquel;adj;that (over there)
aquél;pron;that one over there (m)
aquello;pron;that over there (n)
aquí;adv;here
árabe;adj;Arab
araña;nf;spider
árbitro;nm/f;umpire, referee
árbol;nm;tree
archivo;nm;archive, file, filing cabinet
arco;nm;arch, arc, bow
arder;v;to burn, glow
ardiente;adj;passionate, ardent
área;nf;(el) area, zone
arena;nf;sand
argentino;adj;Argentine
argumentar;v;to argue, deduce
argumento;nm;argument, plot
arma;nf;(el) weapon
armado;adj;armed
armar;v;to arm, put together
armario;nm;closet, cupboard
armonía;nf;harmony
aroma;nm;aroma
arqueológico;adj;archaeological, archeological
arquitecto;nm/f;architect
arquitectónico;adj;architectural
arquitectura;nf;architecture
arrancar;v;to start (machine), uproot
arrastrar;v;to drag, pull
arrebatar;v;to snatch, grab
arreglar;v;to fix, arrange
arreglo;nm;arrangement
arrepentir;v;to repent, regret
arriba;adv;up, above
arriesgar;v;to risk, venture
arrodillar;v;to kneel
arrojar;v;to throw, fling
arroyo;nm;brook, stream, gutter
arroz;nm;rice
arruga;nf;wrinkle
arrugado;adj;wrinkled, creased
arrugar;v;to wrinkle, crumple
arruinar;v;to ruin, destroy
arte;nm;art, skill
artesano;nm/f;artisan, craftsman
articulación;nf;articulation, joint
articular;v;to articulate
artículo;nm;article, product, item
artificial;adj;artificial
artista;nc;artist, performer
artístico;adj;artistic
asaltar;v;to assault
asalto;nm;assault, robbery
asamblea;nf;assembly
ascender;v;to ascend, be promoted
ascenso;nm;promotion, climb
ascensor;nm;elevator
asco;nm;disgust
asegurar;v;to assure, secure, insure
asentamiento;nf;settlement, colony
asentar;v;to settle, establish, locate
asentir;v;to assent, agree
asesinar;v;to murder, assassinate
asesinato;nm;murder, assassination
asesino;nm;killer, assassin
asesor;nm/f;adviser, consultant
así;adv;like that
asiático;adj;Asian, Asiatic,
asiento;nm;seat, chair
asignar;v;to assign, allocate
asignatura;nf;subject, course
asimilar;v;to assimilate
asimismo;adv;as well, also, moreover
asistencia;nf;attendance, assistance
asistente;nc;assistant
asistir;v;to attend
asociación;nf;association
asociado;adj;associated
asociar;v;to associate with
asomar;v;to appear, show, stick (out)
asombrar;v;to amaze, astound
asombro;nm;amazement, astonishment
asombroso;adj;amazing
aspecto;nm;aspect, appearance
áspero;adj;rough, coarse, harsh
aspiración;nf;ambition, aspiration
aspirante;nc;candidate, applicant
aspirar;v;to aspire, want
asumir;v;to assume, take on
asunto;nm;matter, issue, affair
asustado;adj;scared, frightened
asustar;v;to frighten, scare
atacar;v;to attack
ataque;nm;attack, raid
atar;v;to tie (up)
atardecer;nm;evening, dusk
ataúd;nm;coffin, casket
atención;nf;attention
atender;v;to serve, attend to
atentado;nm;(terrorist) attack, offence
atentar;v;to attack, attempt, threaten
atento;adj;attentive, polite
atleta;nc;athlete
atmósfera;nf;atmosphere, environment
atómico;adj;atomic, nuclear
átomo;nm;atom
atormentar;v;to torture, torment
atracción;nf;attraction
atractivo;adj;attractive
atraer;v;to attract
atrapar;v;to trap, catch
atrás;adv;back, behind, ago
atravesar;v;to cross
atrever;v;to dare
atribuir;v;to attribute
atributo;nm;attribute, quality
audiencia;nf;audience, hearing
auditorio;nm;hearing, auditorium
auge;nm;peak, boom
aula;nf;(el) classroom
aumentar;v;to increase
aumento;nm;increase, rise
aun;adv;even (though), still
aún;adv;still, yet
aunque conj although, even though
ausencia;nf;absence
auténtico;adj;authentic
auto;nm;auto, car
autobús;nm;bus
automáticamente;adv;automatically
automático;adj;automatic
automóvil;nm;automobile
autonomía;nf;autonomy, range
autónomo;adj;autonomous
autor;nm/f;writer, author
autoridad;nf;authority
autorización;nf;authorization
autorizado;adj;authorized
autorizar;v;to authorize, legalize
auxiliar;nm/f;aide, auxiliary
auxilio;nm;help, aid, assistance
avance;nm;advance, progress
avanzado;adj;advanced
avanzar;v;to advance, progress
ave;nm;bird
avenida;nf;avenue
aventura;nf;adventure
avergonzar;v;to embarrass, shame
averiguar;v;to investigate, find out
avión;nm;plane, airplane, aircraft
avisar;v;to inform, announce
aviso;nm;warning
ay;interj;oh no!, oh my!
ayer;adv;yesterday
ayuda;nf;help, aid
ayudante;nc;helper, assistant
ayudar;v;to help
ayuntamiento;nm;city council, town hall
azar;nm;random, chance, hazard
azúcar;nm;sugar
azul;adj;blue
bachillerato;nm;academic degree
bacteria;nf;germ, bacteria
bahía;nf;bay
bailar;v;to dance
bailarín;nm/f;dancer
baile;nm;dance, ball
bajar;v;to come down, let down
bajo;prep;under, underneath
bajo;adj;short, low
bala;nf;bullet, shot
balance;nm;outcome, balance
balcón;nm;balcony
ballet;nm;ballet
balón;nm;ball
bañar;v;to bathe, take a bath
banca;nf;bank, banking
bancario;adj;bank, banking
banco;nm;(financial) bank, bench
banda;nf;(musical) band, sash
bandeja;nf;tray
bandera;nf;flag
bando;nm;faction, side
baño;nm;bathroom, bath, swim
bar;nm;(snack) bar, café
barato;adj;inexpensive
barba;nf;beard
barbaridad;nf;atrocity
bárbaro;adj;savage, horrible
barco;nm;boat, ship
barra;nf;bar, rod, rail
barrer;v;sweep, clean out
barrera;nf;barrier, obstacle
barrio;nm;neighborhood, district
barro;nm;clay, mud
barroco;adj;baroque, elaborate
basar;v;to base on, base upon
base;nf;base, basis
básicamente;adv;basically
básico;adj;basic, essential
bastante;adj;rather, fairly, quite a bit (ADV)
bastar;v;to be sufficient
basura;nf;garbage, rubbish
batalla;nf;battle
batería;nf;battery, gun deck
batir;v;to beat (object)
bautizar;v;to baptize, christen
bebé;nc;baby
beber;v;to drink
bebida;nf;drink, beverage
beca;nf;scholarship, grant
belleza;nf;beauty
bello;adj;beautiful, fine
bendecir;v;to bless, thank
bendición;nf;blessing, benediction
beneficiar;v;to benefit
beneficio;nm;benefit, profit
besar;v;to kiss
beso;nm;kiss
bestia;nf;beast, brute
biblia;nf;Bible
bíblico;adj;biblical
biblioteca;nf;library
bicho;nm;bug, creature
bicicleta;nf;bicycle
bien;adv;well
bien;nm;goods, property, benefit
bienes;nm;goods, property
bienestar;nm;well-being, welfare
bienvenida;nf;welcome, greeting
bienvenido;adj;welcome
bigote;nm;mustache
billete;nm;ticket, bill, note
biografía;nf;biography
biología;nf;biology
biológico;adj;biological
blanco;adj;white
blando;adj;soft, limp, gentle
blog;nm;blog
bloque;nm;block
bloquear;v;to block, obstruct
bloqueo;nm;blockade, block
boca;nf;mouth, entrance, opening
boda;nf;marriage, wedding
bodega;nf;cellar, pantry, warehouse
bola;nf;ball, sphere
boliviano;adj;Bolivian
bolsa;nf;bag, purse, stock exchange
bolsillo;nm;pocket
bolso;nm;bag, purse
bomba;nf;bomb, explosion, pump
bombero;nm/f;firefighter
bondad;nf;goodness, kindness
bonito;adj;pretty, nice
bono;nm;bond, certificate, voucher
bordar;v;to embroider
borde;nm;edge
borracho;adj;drunk
borrar;v;to erase
bosque;nm;forest
bota;nf;boot, wineskin
bote;nm;boat, container
botella;nf;bottle, flask
botón;nm;button
bóveda;nf;vault, dome
brasileño;adj;Brazilian
bravo;adj;fierce, angry
brazo;nm;arm
breve;adj;brief, short
brillante;adj;brilliant, shiny, sparkling
brillar;v;to shine, twinkle, be outstanding
brillo;nm;shine, twinkling, sparkle
brindar;v;to offer
brisa;nf;breeze, air
británico;adj;British
broma;nf;joke
bronce;nm;bronze
brotar;v;to sprout
bruja;nf;witch, hag
brusco;adj;brusque, abrupt, sudden
brutal;adj;brutal, savage
bruto;adj;brutal, coarse, clumsy
bueno;adv;well . . .
bueno;adj;good
buey;nm;ox
bulto;nm;bulk, shape
buque;nm;ship, vessel, hull
burbuja;nf;bubble
burla;nf;mockery, joke, trick
burlar;v;to mock
burro;nm;donkey
busca;nf;search, hunt
buscar;v;to look for
búsqueda;nf;search
caballero;nm;gentleman, knight
caballo;nm;horse
cabecera;nf;head, header
cabellera;nf;hair
cabello;nm;hair
caber;v;to fit (into)
cabeza;nf;head (part of body)
cable;nm;cable, wiring
cabo;nm;end, bit, llevar a c.: to carry out
cada;adj;each, every
cadáver;nm;corpse, body
cadena;nf;chain
cadera;nf;hip
caer;v;to fall
café;nm;coffee, cafe
cagar;v;to dirty, crap
caída;nf;fall, drop, falling
caja;nf;bank, box, safe
cajón;nm;drawer
calcular;v;to calculate, figure out
cálculo;nm;calculation, calculus
calendario;nm;calendar
calentar;v;to warm, heat
calidad;nf;quality
cálido;adj;warm
caliente;adj;hot, warm, spirited
calificación;nf;evaluation, qualification
calificar;v;to grade, rate, qualify
callado;adj;quiet, reserved
callar;v;to be/make quiet
calle;nf;street
calma;nf;calm, lull
calmar;v;to calm, soothe, relieve
calor;nm;heat, warmth
calzar;v;to wear (shoes)
cama;nf;bed (furniture)
cámara;nf;camera, chamber
cambiar;v;to change
cambio;nm;change, en c: instead
caminar;v;to walk
camino;nm;road, route, path
camión;nm;truck, van, tanker
camioneta;nf;van, bus
camisa;nf;shirt
camiseta;nf;T-shirt
campamento;nm;camp, camping
campana;nf;bell
campaña;nf;campaign
campeón;nm/f;champion
campeonato;nm;championship
campesino;nm/f;peasant, farmer
campo;nm;field, country
caña;nf;cane, reed
canadiense;adj;Canadian
canal;nm;channel, canal
cancelar;v;to cancel
cáncer;nm;cancer
cancha;nf;playing field, court
canciller;nm/f;chancellor, ambassador
canción;nf;song
candidato;nm;candidate
candidatura;nf;candidacy
cañón;nm;canyon, cannon
cansado;adj;tired, tiresome
cansancio;nm;tiredness, weariness
cansar;v;to tire, annoy
cantante;nc;singer
cantar;v;to sing
cantidad;nf;quantity, amount
canto;nm;singing, chant
caos;nm;chaos
capa;nf;layer, coat
capacidad;nf;capacity
capacitación;nf;training
capacitar;v;to qualify, prepare
capaz;adj;capable, able
capilla;nf;chapel
capital;nmf;capital, city (f), money (m)
capitalismo;nm;capitalism
capitalista;adj;capitalist
capitán;nm;captain, chief
capítulo;nm;chapter
capricho;nm;caprice, whim
captar;v;to capture, attract
captura;nf;capture, snapshot, screenshot
capturar;v;to capture
cara;nf;face, expression
caracol;nf;snail, shell
carácter;nm;personality, nature
característica;nf;characteristic, aspect
característico;adj;characteristic
caracterizar;v;to characterize, portray
carbón;nm;coal, charcoal
carbono;nm;carbon, coal
carcajada;nf;hearty laughter, guffaw
cárcel;nf;jail, prison
cardenal;nm;cardinal
carecer;v;to be without
carencia;nf;lack, shortage
carga;nf;load, charge, cargo
cargar;v;to load (up), carry
cargo;nm;position, charge, fee
caricia;nf;caress, stroke
caridad;nf;charity
cariño;nm;love, affection
cariñoso;adj;affectionate
carnaval;nm;carnival
carne;nf;meat, flesh
caro;adj;expensive, difficult, dear
carpeta;nf;folder, file
carrera;nf;career, course, race
carreta;nf;cart, wagon
carretera;nf;highway, road
carro;nm;car, cart
carta;nf;letter, (playing) card
cartel;nm;poster
cartera;nf;wallet, satchel
cartón;nm;cardboard, carton, sketch
casa;nf;house
casado;adj;married
casar;v;to marry
casco;nm;helmet
casero;adj;homemade
casi;adv;almost, nearly
casita;nf;cottage
caso;nm;case, occasion
castellano;adj;Castilian, Spanish
castigar;v;to punish
castigo;nm;punishment, penalty
castillo;nm;castle
casualidad;nf;chance, coincidence
catalán;adj;Catalan
catálogo;nm;catalog
catástrofe;nf;catastrophe
cátedra;nf;academic chair
catedral;nf;cathedral
categoría;nf;category
católico;adj;Catholic
catorce;num;fourteen
cauce;nm;(river) bed, ditch
causa;nf;cause
causar;v;to cause, bring about
caza;nf;hunting (game)
cazador;nm/f;hunter
cazar;v;to hunt
ceder;v;to give way, yield
ceja;nf;eyebrow, brow
celda;nf;cell
celebración;nf;celebration
celebrado;adj;celebrated, famous
celebrar;v;to celebrate
célebre;adj;famous, renowned
celeste;adj;heavenly, sky-blue
celo;nm;jealousy, zeal
célula;nf;cell (biology)
cementerio;nm;cemetery, graveyard
cemento;nm;cement, concrete
cena;nf;dinner
cenar;v;to dine
ceniza;nf;ash
censura;nf;censorship, criticism
centavo;nm;cent
centenar;nm;hundred
centímetro;nm;centimeter
central;adj;central
centrar;v;to center, focus, base (on)
centro;nm;center, middle, downtown
cerámica;nf;ceramics, pottery
cerca;adv;close, near
cercanía;nf;nearness, proximity
cercano;adj;near
cerdo;nm;pig, sow, slob
cerebral;adj;cerebral
cerebro;nm;brain
ceremonia;nf;ceremony
cero;num;zero, naught, nil
cerrado;adj;closed
cerrar;v;to close
cerro;nm;hill
certeza;nf;certainty
certificado;nm;certificate
cerveza;nf;beer, ale
cesar;v;to cease, stop
chaqueta;nf;jacket
charco;nm;pool, puddle
charla;nf;talk, chat
charlar;v;to chat, talk
cheque;nm;check
chica;nf;girl, female
chico;nm;boy
chileno;adj;Chilean
chimenea;nf;chimney, fireplace
chino;adj;Chinese
chiquillo;nm;kid, youngster
chiquito;adj;tiny
chispa;nf;spark
chiste;nm;joke, funny story
chocar;v;to crash into, collide with
chocolate;nm;chocolate
choque;nm;crash, collision
chorro;nm;stream, jet, spurt
chupar;v;to suck
cicatriz;nf;scar
ciclo;nm;cycle
ciego;adj;blind
cielo;nm;sky, heaven, ceiling
ciencia;nf;science, knowledge
científico;adj;scientific
científico;nm/f;scientist
ciento;num;hundred
cierre;nm;zipper, closing
ciertamente;adv;certainly, indeed
cierto;adj;certain, sure, true
cifra;nf;figure, number, amount
cigarrillo;nm;cigarette
cigarro;nm;cigarette, cigar
cima;nf;summit, peak, top
cinco;num;five
cincuenta;num;fifty
cine;nm;cinema, US movie theater
cinematográfico;adj;cinematic
cinta;nf;tape, ribbon, film, strip
cintura;nf;waist
cinturón;nm;belt
circo;nm;circus
circuito;nm;circuit, circumference, track
circulación;nf;circulation, traffic
circular;v;to circulate, go around, flow
círculo;nm;circle, club
circunstancia;nf;circumstance
cirugía;nf;surgery
cita;nf;appointment, date, quotation
citar;v;to cite, quote
ciudad;nf;city
ciudadanía;nf;citizenship, citizens
ciudadano;nm/f;citizen
cívico;adj;civic, civil
civil;adj;civil
civilización;nf;civilization
claramente;adv;clearly
claridad;nf;clearness, clarity
claro;adj;clear
claro;adv;of course, clearly
clase;nf;kind, class, order
clásico;adj;classic
clasificación;nf;classification
clasificar;v;to classify, sort, file
clavar;v;to nail
clave;nf;key
clavo;nm;nail, tack, peg
clic;nm;click
cliente;nc;client, customer
clima;nm;climate
climático;adj;climatic
clínica;nf;clinic
clínico;adj;clinical
club;nm;club, society
coalición;nf;coalition
cobertura;nf;coverage
cobrar;v;to charge (money)
cobre;nm;copper
coca;nf;cocaine, coke
coche;nm;car, carriage
cocina;nf;kitchen
cocinar;v;to cook
coco;nm;coconut
código;nm;code
codo;nm;elbow
coger;v;to hold, take, catch
coherente;adj;coherent, connected
coincidencia;nf;coincidence
coincidir;v;to coincide, agree
cola;nf;line, queue, tail
colaboración;nf;collaboration
colaborador;nm/f;collaborator
colaborar;v;to collaborate, work together
colar;v;to slip in [se]
colchón;nm;mattress
colección;nf;collection
colectivo;adj;collective, joint
colectivo;nm;collective, group
colega;nc;colleague
colegio;nm;(high) school, college
colgado;adj;hanging
colgar;v;to hang (up)
colina;nf;hill, slope
collar;nm;collar, necklace
colmo;nm;climax, para c.: to top it all
colocar;v;to place, position
colombiano;adj;Colombian
colonia;nf;colony, cologne
colonial;adj;colonial
color;nm;color
colorado;adj;red, colored
columna;nf;column, spine
comandante;nc;commander, commanding officer
comando;nm;command, order
combate;nm;combat, battle, fight
combatir;v;to fight against
combinación;nf;combination
combinar;v;to combine
combustible;nm;fuel
comedia;nf;comedy, play, pretense
comedor;nm;dining room
comentar;v;to comment on
comentario;nm;remark, comment
comenzar;v;to begin, start
comer;v;to eat
comercial;adj;commercial, shopping
comerciante;nc;merchant, businessperson
comercio;nm;commerce, trade
cometer;v;to commit
cómico;adj;comic
comida;nf;food, meal
comienzo;nm;start, beginning
comisaría;nf;police station
comisario;nm;commissioner, delegate
comisión;nf;commission, committee
comité;nm;committee, commission
como;conj;like, as
cómo;adv;how?
comodidad;nf;comfort, convenience
cómodo;adj;comfortable, convenient
compacto;adj;compact, dense
compañero;nm/f;companion, classmate
compañía;nf;company
comparación;nf;comparison
comparar;v;to compare
compartir;v;to share
compás;nm;rhythm, time, compass
compasión;nf;compassion
compatriota;nc;fellow countryman
compensación;nf;compensation
compensar;v;to compensate, make up for
competencia;nf;competition, contest
competente;adj;competent, able
competición;nf;competition, contest
competir;v;to compete
competitivo;adj;competitive
complacer;v;to please, satisfy
complejidad;nf;complexity
complejo;adj;complex, complicated
complejo;nm;complex
complementar;v;to complement, supplement
complementario;adj;additional, complementary
complemento;nm;complement, supplement
completamente;adv;completely
completar;v;to complete
completo;adj;complete
complicación;nf;complication
complicado;adj;complicated, complex
complicar;v;to complicate, make difficult
cómplice;nc;accomplice
complicidad;nf;involvement, complicity
componente;nm;component, ingredient
componer;v;to compose, be part of
comportamiento;nm;behavior, conduct
comportar;v;to behave
composición;nf;composition, makeup, essay
compositor;nm/f;composer
compra;nf;shopping, buy, purchase
comprador;nm;buyer
comprar;v;to buy
comprender;v;to understand
comprensión;nf;understanding
comprobar;v;to verify, prove
comprometer;v;to compromise
comprometido;adj;committed, engaged
compromiso;nm;compromise, engagement
compuesto;adj;composite, mixed
computadora;nf;computer
común;adj;common
comunicación;nf;communication
comunicado;nm;statement, announcement
comunicar;v;to communicate
comunidad;nf;community
comunión;nf;communion
comunismo;nm;communism
comunista;adj;Communist
comunitario;adj;of the community
con;prep;with
concebir;v;to conceive, understand
conceder;v;to grant, concede
concentración;nf;concentration, gathering
concentrar;v;to concentrate
concepción;nf;conception
concepto;nm;concept
concesión;nf;awarding, concession
concha;nf;shell
conciencia;nf;conscience, consciousness
concierto;nm;concert, concerto
concluir;v;to conclude, finish
conclusión;nf;conclusion, end
concretamente;adv;specifically, exactly
concretar;v;to materialize, fulfill
concreto;adj;concrete, real
concurrir;v;to coincide, concur, meet
concurso;nm;competition, gathering
conde;nm;count
condena;nf;sentence (in prison), penalty
condenar;v;to convict, condemn
condición;nf;condition
condicionar;v;to condition, determine
conducir;v;to lead, drive
conducta;nf;conduct, behavior
conductor;nm/f;driver, conductor
conectar;v;to connect, plug in
conejo;nm;rabbit
